'country_name',year,'ladder_score',upperwhisker,lowerwhisker,'log_gdp_per_capita','social_support','healthy_life_expectancy','freedom_to_make_life_choices','generosity','perceptions_of_corruption'
Lesotho,2017,3.808,4.044,3.572,0.521,1.19,0,0.391,0.157,0.119
Angola,2017,3.795,3.952,3.638,0.858,1.104,0.05,0,0.098,0.07
Afghanistan,2017,3.794,3.874,3.714,0.401,0.582,0.181,0.106,0.312,0.061
Botswana,2017,3.766,3.874,3.658,1.122,1.222,0.342,0.505,0.099,0.099
Benin,2017,3.657,3.746,3.568,0.431,0.435,0.21,0.426,0.208,0.061
Madagascar,2017,3.644,3.714,3.574,0.306,0.913,0.375,0.189,0.209,0.067
Haiti,2017,3.603,3.735,3.471,0.369,0.64,0.277,0.03,0.489,0.1
Yemen,2017,3.593,3.693,3.493,0.592,0.935,0.31,0.249,0.104,0.057
'South Sudan',2017,3.591,3.726,3.456,0.397,0.601,0.163,0.147,0.286,0.117
Liberia,2017,3.533,3.654,3.412,0.119,0.872,0.23,0.333,0.267,0.039
Guinea,2017,3.507,3.584,3.43,0.245,0.791,0.194,0.349,0.265,0.111
Togo,2017,3.495,3.594,3.396,0.305,0.432,0.247,0.38,0.197,0.096
Rwanda,2017,3.471,3.543,3.399,0.369,0.946,0.326,0.582,0.253,0.455
Syria,2017,3.462,3.664,3.26,0.777,0.396,0.501,0.082,0.494,0.151
Tanzania,2017,3.349,3.461,3.237,0.511,1.042,0.365,0.39,0.354,0.066
Burundi,2017,2.905,3.075,2.735,0.092,0.63,0.152,0.06,0.204,0.084
'Central African Republic',2017,2.693,2.865,2.521,0,0,0.019,0.271,0.281,0.057
Afghanistan,2017,2.661718,?,?,7.460144,0.49088,52.339527,0.427011,-0.10634,0.954393
Albania,2017,4.639548,?,?,9.373718,0.637698,69.051659,0.749611,-0.03514,0.876135
Algeria,2017,5.248912,?,?,9.540244,0.806754,65.699188,0.43667,-0.19467,0.699774
Argentina,2017,6.03933,?,?,9.843519,0.906699,67.538704,0.831966,-0.1863,0.841052
Armenia,2017,4.287736,?,?,9.034711,0.697925,65.125687,0.613697,-0.132166,0.864683
Australia,2017,7.257038,?,?,10.711827,0.949958,72.78334,0.91055,0.301693,0.411347
Austria,2017,7.293728,?,?,10.716226,0.906218,72.359711,0.890031,0.124997,0.518304
Azerbaijan,2017,5.152279,?,?,9.65393,0.787039,63.075314,0.73103,-0.247481,0.652539
Bahrain,2017,6.227321,?,?,10.686713,0.875747,66.123993,0.905859,0.120759,?
Bangladesh,2017,4.309771,?,?,8.163093,0.712553,62.504154,0.896217,0.017536,0.635014
Belarus,2017,5.552915,?,?,9.71983,0.900256,66.605965,0.620979,-0.130582,0.654113
Belgium,2017,6.928348,?,?,10.657654,0.921639,72.142929,0.856802,0.045481,0.543046
Benin,2017,4.853181,?,?,7.632503,0.435879,51.79475,0.726808,-0.040269,0.767235
Bolivia,2017,5.650553,?,?,8.832608,0.778662,60.343796,0.883905,-0.115988,0.819262
'Bosnia and Herzegovina',2017,5.089902,?,?,9.371713,0.775295,67.994484,0.563799,0.089589,0.923343
Botswana,2017,3.504881,?,?,9.683659,0.768259,58.013214,0.817308,-0.258249,0.731441
Brazil,2017,6.332929,?,?,9.547693,0.904694,65.453735,0.764793,-0.187265,0.794457
Bulgaria,2017,5.096902,?,?,9.822962,0.941755,66.415489,0.689047,-0.160039,0.9108
'Burkina Faso',2017,4.646891,?,?,7.434531,0.784761,52.399475,0.613775,-0.051287,0.727451
Cambodia,2017,4.585842,?,?,8.20258,0.765095,58.630875,0.963775,0.086719,0.821023
Cameroon,2017,5.074051,?,?,8.1284,0.694596,50.140224,0.766945,-0.031056,0.843586
'Central African Republic',2017,3.475862,?,?,?,0.319589,44.645351,0.645252,?,0.889566
Chad,2017,4.558937,?,?,7.490785,0.660616,45.984062,0.61485,-0.002929,0.79239
Chile,2017,6.320119,?,?,10.037579,0.879841,69.60894,0.790116,-0.035265,0.835988
China,2017,5.099061,?,?,9.635467,0.772033,69.302795,0.877618,-0.194635,?
Colombia,2017,6.157342,?,?,9.490861,0.90925,64.13578,0.837555,-0.165878,0.875018
'Congo (Brazzaville)',2017,4.883991,?,?,8.559968,0.655441,55.289459,0.777783,-0.168749,0.762783
'Congo (Kinshasa)',2017,4.311033,?,?,6.625341,0.669688,50.788219,0.70424,0.095793,0.809182
'Costa Rica',2017,7.225182,?,?,9.670634,0.921697,69.867302,0.935618,-0.078269,0.742351
Croatia,2017,5.343166,?,?,10.014189,0.77031,67.015511,0.715822,-0.109417,0.89156
Cyprus,2017,6.062051,?,?,10.361367,0.818671,72.762794,0.811671,0.036287,0.851206
'Czech Republic',2017,6.789568,?,?,10.393459,0.900969,71.451027,0.831785,-0.18459,0.866525
Denmark,2017,7.593702,?,?,10.748989,0.9521,71.662498,0.955416,0.145387,0.181148
'Dominican Republic',2017,5.605203,?,?,9.594574,0.894368,63.495995,0.855359,-0.127092,0.76049
Ecuador,2017,5.839519,?,?,9.223261,0.848942,67.342064,0.879128,-0.169955,0.733589
Egypt,2017,3.929344,?,?,9.260223,0.638226,61.573791,0.592505,-0.161945,?
'El Salvador',2017,6.339318,?,?,9.001177,0.828953,64.311371,0.757827,-0.180291,0.777749
Estonia,2017,5.938396,?,?,10.285845,0.935686,67.284386,0.861749,-0.109588,0.668402
Ethiopia,2017,4.180315,?,?,7.439282,0.73354,56.728268,0.717101,0.011871,0.756899
Finland,2017,7.788252,?,?,10.612338,0.963826,71.69696,0.962199,-0.012174,0.192413
France,2017,6.635222,?,?,10.560774,0.931495,72.588936,0.83389,-0.133585,0.601486
Gabon,2017,4.782383,?,?,9.715631,0.806941,57.126167,0.65236,-0.250832,0.868306
Georgia,2017,4.450775,?,?,9.169098,0.590495,64.34745,0.820909,-0.231423,0.589632
Germany,2017,7.074325,?,?,10.711184,0.892166,71.079102,0.840728,0.135308,0.414021
Ghana,2017,5.481311,?,?,8.326971,0.669111,54.86589,0.783046,0.08499,0.83861
Greece,2017,5.148242,?,?,10.117517,0.7529,71.780342,0.4383,-0.296735,0.872239
Guatemala,2017,6.325119,?,?,8.918908,0.826492,63.381977,0.914522,-0.061729,0.799748
Guinea,2017,4.873723,?,?,7.527477,0.634026,51.151817,0.738213,0.054308,0.750026
Haiti,2017,3.823866,?,?,7.403176,0.646985,53.347008,0.484429,0.38451,0.647192
Honduras,2017,6.019986,?,?,8.40438,0.843355,63.75267,0.898377,0.080074,0.783429
'Hong Kong S.A.R. of China',2017,5.362475,?,?,10.917167,0.831066,76.536362,0.830657,0.122935,0.41581
Hungary,2017,6.065039,?,?,10.193238,0.876748,67.193367,0.661166,-0.150793,0.886361
Iceland,2017,7.476214,?,?,10.760409,0.966753,72.755981,0.938783,0.235479,0.726845
India,2017,4.046111,?,?,8.768456,0.606767,59.502628,0.88585,-0.054503,0.780803
Indonesia,2017,5.098402,?,?,9.322167,0.795589,60.584415,0.865026,0.472974,0.900416
Iran,2017,4.716783,?,?,9.853449,0.714233,65.964554,0.730635,0.182735,0.714941
Iraq,2017,4.462399,?,?,9.62272,0.695109,61.045845,0.627722,-0.038429,0.757109
Ireland,2017,7.060155,?,?,11.066487,0.943482,71.709785,0.905341,0.206802,0.337085
Israel,2017,7.331036,?,?,10.406132,0.916441,71.865082,0.768076,0.137159,0.792652
Italy,2017,6.19887,?,?,10.472474,0.919791,74.134796,0.632843,-0.043381,0.866668
'Ivory Coast',2017,5.037735,?,?,8.180943,0.661375,46.989941,0.732098,-0.095354,0.77094
Jamaica,2017,5.889759,?,?,9.025865,0.91303,65.818794,0.860676,-0.130833,0.882796
Japan,2017,5.910676,?,?,10.568169,0.881961,75.317291,0.849397,-0.223297,0.659199
Jordan,2017,4.808083,?,?,9.025333,0.814665,64.417877,0.766262,-0.151523,?
Kazakhstan,2017,5.882351,?,?,10.071871,0.914093,64.199997,0.745244,-0.049178,0.755251
Kenya,2017,4.475654,?,?,8.010255,0.714604,58.689838,0.853394,0.250179,0.854
Kosovo,2017,6.1492,?,?,?,0.792087,62.392479,0.857677,?,0.925192
Kuwait,2017,6.093905,?,?,11.111793,0.853491,65.37896,0.884182,-0.048504,?
Kyrgyzstan,2017,5.629537,?,?,8.112041,0.882587,62.899647,0.85939,0.166667,0.874494
Laos,2017,4.623141,?,?,8.708568,0.707336,57.869576,0.891001,0.076483,0.591617
Latvia,2017,5.977818,?,?,10.133033,0.895099,65.109261,0.69952,-0.163831,0.798378
Lebanon,2017,5.15399,?,?,9.491579,0.776583,68.863892,0.604554,-0.075028,0.910727
Liberia,2017,4.424491,?,?,6.629414,0.684867,52.78685,0.73339,0.040577,0.866806
Libya,2017,5.646852,?,?,?,0.822759,61.484707,0.778696,?,0.673066
Lithuania,2017,6.272941,?,?,10.282658,0.926317,67.041695,0.749307,-0.182277,?
Luxembourg,2017,7.061381,?,?,11.465231,0.905436,72.201309,0.902822,0.029771,0.330174
Macedonia,2017,5.233867,?,?,9.503636,0.799955,65.875778,0.752107,-0.062728,0.855697
Madagascar,2017,4.07862,?,?,7.249253,0.626332,56.994484,0.570348,-0.025508,0.847261
Malawi,2017,3.416863,?,?,7.002703,0.555423,54.234642,0.847921,0.02156,0.734637
Mali,2017,4.74185,?,?,7.608559,0.741359,49.178699,0.753213,-0.064547,0.862655
Malta,2017,6.675666,?,?,10.5027,0.937332,71.829514,0.923643,0.241762,0.690495
Mauritania,2017,4.67816,?,?,8.187708,0.779225,53.335339,0.527447,-0.134766,0.777314
Mauritius,2017,6.174118,?,?,9.914655,0.910142,65.589157,0.912308,0.073929,0.81818
Mexico,2017,6.410299,?,?,9.741969,0.799839,68.098228,0.861405,-0.206639,0.800893
Moldova,2017,5.325531,?,?,8.545789,0.830768,63.701244,0.552825,-0.003179,0.926334
Mongolia,2017,5.33385,?,?,9.318548,0.924251,62.312611,0.674627,0.106451,0.864952
Montenegro,2017,5.614799,?,?,9.694497,0.8812,67.142189,0.625906,-0.084891,0.75568
Morocco,2017,5.312483,?,?,8.915044,0.641193,65.33886,0.814258,-0.227919,0.840502
Mozambique,2017,4.279863,?,?,7.046577,0.678464,49.957745,0.822671,-0.021503,0.682109
Myanmar,2017,4.154342,?,?,8.634504,0.795184,57.64122,0.886012,0.628706,0.618822
Namibia,2017,4.441306,?,?,9.203362,0.828339,55.495426,0.810402,-0.201766,0.831303
Nepal,2017,4.736692,?,?,7.801309,0.816383,61.265957,0.845148,0.146511,0.770177
Netherlands,2017,7.458965,?,?,10.791814,0.936501,71.619995,0.92032,0.23744,0.363134
'New Zealand',2017,7.327183,?,?,10.475762,0.954921,71.614304,0.942279,0.285057,0.221887
Nicaragua,2017,6.476357,?,?,8.575318,0.838044,66.251785,0.922163,0.010327,0.672963
Niger,2017,4.615674,?,?,6.831232,0.58211,51.325943,0.683558,-0.012236,0.77766
Nigeria,2017,5.321928,?,?,8.585621,0.733469,45.873157,0.825906,0.113301,0.834892
Norway,2017,7.578745,?,?,11.081789,0.950128,71.086586,0.953017,0.210104,0.249711
Pakistan,2017,5.830871,?,?,8.519007,0.690264,57.462997,0.712657,0.030328,0.713928
'Palestinian Territories',2017,4.628133,?,?,?,0.824345,63.072498,0.631611,?,0.830646
Panama,2017,6.567659,?,?,10.002714,0.911905,68.04541,0.899574,-0.16408,0.840777
Peru,2017,5.710937,?,?,9.413349,0.830123,65.407242,0.826552,-0.166747,0.895384
Philippines,2017,5.59427,?,?,8.938968,0.851029,60.251492,0.925703,-0.147852,0.711166
Poland,2017,6.201268,?,?,10.21114,0.881854,69.096802,0.830843,-0.133134,?
Portugal,2017,5.711499,?,?,10.236709,0.899985,72.158745,0.905066,-0.182598,0.880971
Romania,2017,6.089905,?,?,10.028892,0.81124,66.857086,0.838587,-0.164421,0.925658
Russia,2017,5.578743,?,?,10.103683,0.896151,62.978783,0.730874,-0.158568,0.86159
'Saudi Arabia',2017,6.294282,?,?,10.811988,0.840086,64.08374,0.814142,-0.156905,?
Senegal,2017,4.683025,?,?,7.811985,0.743759,57.980877,0.686937,-0.029066,0.825242
Serbia,2017,5.122031,?,?,9.561538,0.88377,65.684875,0.684846,-0.081416,0.851458
'Sierra Leone',2017,4.089562,?,?,7.253018,0.652287,44.386528,0.710614,0.089226,0.848398
Singapore,2017,6.378438,?,?,11.31705,0.89735,75.812401,0.926128,0.120412,0.161791
Slovakia,2017,6.365509,?,?,10.313942,0.913387,68.773911,0.714225,-0.072077,0.920423
Slovenia,2017,6.166838,?,?,10.353517,0.928188,70.943291,0.920863,-0.033475,0.828795
'South Africa',2017,4.513655,?,?,9.405203,0.870313,55.229309,0.787428,-0.139256,0.864782
'South Korea',2017,5.873887,?,?,10.489735,0.80693,74.041695,0.538114,0.003355,0.85069
'South Sudan',2017,2.816622,?,?,?,0.556823,50.020172,0.456011,?,0.76127
Spain,2017,6.230173,?,?,10.445223,0.903158,74.498215,0.755561,-0.042156,0.791269
'Sri Lanka',2017,4.330945,?,?,9.377954,0.822771,65.292534,0.827077,0.084577,0.84421
Sweden,2017,7.286805,?,?,10.770406,0.914017,73.006546,0.934582,0.155487,0.239367
Switzerland,2017,7.473593,?,?,10.955548,0.949661,73.173759,0.924997,0.167875,0.316183
'Taiwan Province of China',2017,6.359451,?,?,?,0.891119,71.209999,0.759655,?,0.74278
Tajikistan,2017,5.829234,?,?,7.95659,0.662693,62.971249,0.832002,0.124936,0.718337
Tanzania,2017,3.347121,?,?,7.896314,0.70501,56.665485,0.800496,0.106599,0.653606
Thailand,2017,5.938895,?,?,9.688437,0.877269,66.418793,0.922897,0.202452,0.883817
Togo,2017,4.360805,?,?,7.25167,0.507805,52.257275,0.716694,-0.037704,0.72552
'Trinidad and Tobago',2017,6.19186,?,?,10.323865,0.916029,61.738312,0.85914,-0.014604,0.911336
Tunisia,2017,4.124343,?,?,9.294289,0.717382,65.880562,0.477957,-0.233531,0.868827
Turkey,2017,5.607262,?,?,10.119373,0.876468,65.794731,0.644434,-0.246927,0.670911
Turkmenistan,2017,5.229149,?,?,9.702641,0.908455,60.392693,0.720399,0.040338,?
Uganda,2017,4.000517,?,?,7.442951,0.739956,51.763477,0.772344,0.07172,0.81577
Ukraine,2017,4.311067,?,?,8.967859,0.858325,63.173351,0.598876,0.016125,0.936764
'United Arab Emirates',2017,7.03942,?,?,11.121808,0.835527,68.581551,0.962017,0.191113,?
'United Kingdom',2017,7.103273,?,?,10.584576,0.937495,72.056129,0.812733,0.281046,0.418611
'United States',2017,6.991759,?,?,10.899869,0.921003,69.77092,0.868497,0.181657,0.681191
Uruguay,2017,6.33601,?,?,9.917771,0.913802,68.380363,0.897852,-0.104762,0.626582
Uzbekistan,2017,6.421448,?,?,8.762778,0.942131,63.16618,0.985178,0.114029,0.464642
Vietnam,2017,5.175279,?,?,8.742655,?,66.245766,?,?,?
Yemen,2017,3.25356,?,?,?,0.789555,54.981033,0.595191,?,?
Zambia,2017,3.932777,?,?,8.21167,0.743754,53.803783,0.823169,0.129822,0.739541
Zimbabwe,2017,3.6383,?,?,7.538187,0.754147,52.674484,0.752826,-0.066005,0.751208
