log_gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,val
0.436849,0.497989,0.103782,0.402868,0.336449,0.112381,0.126366
0.438207,0.364611,0.278804,0.392438,0.35514,0.140952,0.119177
0.245813,0.286863,0.139842,0.428944,0.478972,0.110476,0.116915
0.228158,0.517426,0.237467,0.447197,0.462617,0.102857,0.114579
0.832956,0.892091,0.616535,0.826597,0.537383,0.700952,0.347712
0.851517,0.908847,0.475814,0.730117,0.509346,0.693333,0.341406
0.85378,0.710456,0.688654,0.734029,0.507009,0.700952,0.335025
0.655048,0.613941,0.701847,0.719687,0.574766,0.638095,0.333549
0.589407,0.876005,0.899736,0.714472,0.658879,0.670476,0.331727
0.272974,0.453753,0.175022,0.410691,0.509346,0.215238,0.106509
0.281575,0.558981,0.037819,0.387223,0.595794,0.167619,0.103409
0.299683,0.253351,0.197889,0.109518,0.425234,0.146667,0.094833
0.115437,0.150804,0.0,0.187744,0.502336,0.16,0.096419
0.136713,0.409517,0.095866,0.173403,0.492991,0.16381,0.095234
0.731553,0.831769,0.591909,0.723598,0.273364,0.142857,0.248592
0.744681,0.841823,0.449428,0.586701,0.306075,0.144762,0.249522
0.747397,0.63807,0.657872,0.474576,0.28972,0.131429,0.231901
0.543232,0.548257,0.596306,0.445893,0.371495,0.133333,0.233904
0.496605,0.800938,0.781882,0.418514,0.364486,0.12,0.245023
0.677682,0.744638,0.55321,0.792699,0.308411,0.312381,0.294033
0.683567,0.75134,0.411609,0.743155,0.268692,0.27619,0.303484
0.682662,0.5563,0.620053,0.730117,0.231308,0.270476,0.278122
0.480308,0.440349,0.584872,0.704042,0.21729,0.222857,0.257051
0.448619,0.672922,0.762533,0.659713,0.184579,0.222857,0.263138
0.650521,0.745979,0.569921,0.714472,0.168224,0.112381,0.171103
0.658669,0.727212,0.427441,0.607562,0.186916,0.129524,0.170744
0.657311,0.536863,0.633245,0.585398,0.203271,0.146667,0.169802
0.4622,0.494638,0.540897,0.597132,0.233645,0.12,0.167744
0.42191,0.808311,0.712401,0.56193,0.214953,0.087619,0.172722
0.405613,0.134048,0.325418,0.099087,0.299065,0.304762,0.086658
0.413762,0.133378,0.189094,0.027379,0.301402,0.27619,0.083871
0.406971,0.233244,0.372911,0.116037,0.455607,0.238095,0.092517
0.220914,0.160188,0.245383,0.138201,0.563084,0.192381,0.084565
0.188321,0.398794,0.384345,0.110821,0.60514,0.190476,0.080427
0.403803,0.331099,0.269129,0.556714,0.28972,0.262857,0.151946
0.416931,0.35992,0.127529,0.479791,0.313084,0.259048,0.141201
0.430059,0.185657,0.312225,0.436767,0.303738,0.278095,0.126629
0.234495,0.176944,0.270009,0.371578,0.336449,0.23619,0.123404
0.287008,0.422252,0.402814,0.3794,0.273364,0.226667,0.11991
0.706655,0.83445,0.581354,0.91395,0.254673,0.234286,0.219889
0.718425,0.812332,0.442392,0.765319,0.231308,0.220952,0.205794
0.717067,0.620643,0.654354,0.736636,0.207944,0.194286,0.190925
0.513354,0.561662,0.635004,0.752282,0.245327,0.158095,0.18477
0.444092,0.835791,0.826737,0.715776,0.306075,0.182857,0.189679
0.774106,0.882708,0.560246,0.48631,0.149533,0.081905,0.476224
0.781802,0.88941,0.417766,0.526728,0.203271,0.005714,0.484387
0.771842,0.707105,0.623571,0.57236,0.254673,0.0,0.480026
0.56632,0.61059,0.618294,0.46545,0.259346,0.0,0.484321
0.502037,0.792895,0.792436,0.371578,0.266355,0.022857,0.490708
0.812132,0.729893,0.654354,0.564537,0.28972,0.093333,0.265849
0.825713,0.734584,0.510114,0.468057,0.242991,0.095238,0.282964
0.821639,0.523458,0.720317,0.458931,0.287383,0.118095,0.283005
0.623359,0.426944,0.704485,0.479791,0.415888,0.11619,0.275657
0.549117,0.684316,0.902375,0.473272,0.53271,0.097143,0.278727
0.807153,0.926944,0.561126,0.900913,0.413551,0.129524,0.380314
0.82526,0.949062,0.419525,0.778357,0.369159,0.095238,0.401823
0.821639,0.758713,0.628848,0.735332,0.369159,0.091429,0.408451
0.62019,0.644772,0.618294,0.63103,0.121495,0.087619,0.418944
0.548665,0.855898,0.787159,0.53455,0.107477,0.095238,0.418424
0.8823,0.951743,0.472296,0.831812,0.485981,1.0,0.433679
0.679946,0.656836,0.671064,0.769231,0.485981,0.92381,0.412092
0.600724,0.921582,0.861038,0.741851,0.567757,0.942857,0.420378
0.686736,0.766756,0.449428,0.826597,0.200935,0.373333,0.194066
0.695337,0.736595,0.308707,0.687093,0.193925,0.371429,0.188575
0.696243,0.586461,0.507476,0.664928,0.196262,0.340952,0.183507
0.500679,0.503351,0.488127,0.632334,0.235981,0.274286,0.177644
0.444998,0.80496,0.652595,0.608866,0.261682,0.220952,0.165134
0.595292,0.685657,0.562885,0.664928,0.203271,0.148571,0.16864
0.607967,0.700402,0.418646,0.604954,0.184579,0.131429,0.160897
0.612042,0.503351,0.622691,0.611473,0.186916,0.158095,0.158524
0.423268,0.454424,0.562885,0.604954,0.25,0.118095,0.153655
0.386148,0.732574,0.737907,0.598435,0.268692,0.165714,0.15721
0.62019,0.581769,0.4292,0.51369,0.058411,0.493333,0.144742
0.623359,0.565684,0.286719,0.483703,0.088785,0.47619,0.139169
0.628339,0.404826,0.48197,0.48631,0.095794,0.48381,0.1264
0.43187,0.347855,0.37467,0.456323,0.161215,0.175238,0.120823
0.396107,0.573056,0.525066,0.362451,0.161215,0.180952,0.121536
0.572657,0.63807,0.48285,0.938722,0.193925,0.481905,0.218491
0.578542,0.613941,0.336851,0.804433,0.184579,0.422857,0.213369
0.572657,0.428954,0.533861,0.743155,0.207944,0.40381,0.215341
0.382526,0.366622,0.496922,0.676662,0.271028,0.304762,0.203054
0.339067,0.684316,0.662269,0.558018,0.278037,0.222857,0.195329
0.793119,0.937668,0.577836,0.924381,0.38785,0.76381,0.38366
0.813943,0.936997,0.434477,0.82399,0.357477,0.708571,0.387607
0.811679,0.739946,0.640281,0.773142,0.287383,0.634286,0.389496
0.60842,0.637399,0.562885,0.710561,0.278037,0.500952,0.385943
0.539611,0.88807,0.741425,0.627119,0.292056,0.384762,0.403122
0.56813,0.534182,0.154793,0.245111,0.13785,0.220952,0.221374
0.576732,0.441019,0.173263,0.212516,0.088785,0.293333,0.216171
0.358533,0.52748,0.369393,0.449804,0.630841,0.192381,0.252806
0.358986,0.660858,0.219877,0.462842,0.661215,0.192381,0.237156
0.356722,0.456434,0.401935,0.490222,0.478972,0.259048,0.21483
0.167497,0.369303,0.291117,0.462842,0.563084,0.217143,0.208837
0.142598,0.585121,0.425682,0.413299,0.53271,0.222857,0.210109
0.654595,0.655496,0.651715,0.77575,0.28972,0.91619,0.344636
0.581711,0.919571,0.845207,0.73794,0.373832,0.910476,0.34504
0.822997,0.817694,0.639402,0.722295,0.261682,0.535238,0.406721
0.840199,0.874665,0.497801,0.633638,0.193925,0.514286,0.401526
0.843368,0.731233,0.710642,0.614081,0.163551,0.506667,0.368988
0.643278,0.63874,0.707124,0.573664,0.214953,0.447619,0.382314
0.574015,0.892091,0.905893,0.54498,0.264019,0.432381,0.3905
0.635129,0.60992,0.302551,0.547588,0.10514,0.190476,0.213748
0.650973,0.598525,0.16095,0.325945,0.084112,0.194286,0.200638
0.66048,0.408847,0.348285,0.322034,0.074766,0.188571,0.179643
0.469443,0.38807,0.318382,0.42764,0.135514,0.121905,0.174335
0.447261,0.655496,0.459982,0.355932,0.121495,0.106667,0.170456
0.33952,0.372654,0.290237,0.473272,0.757009,0.091429,0.080256
0.3445,0.325737,0.153034,0.247718,0.775701,0.062857,0.07654
0.355364,0.330429,0.324538,0.353325,0.906542,0.19619,0.072262
0.116342,0.506032,0.310466,0.400261,0.995327,0.300952,0.071914
