year,ladder_score,upperwhisker,lowerwhisker,log_gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,val
2022,0.544254,0.555903,0.532653,0.664101,0.826408,0.377309,0.507171,0.577103,0.015238,0.441304
2021,0.572106,0.57718,0.567143,0.664554,0.630027,0.584872,0.458931,0.570093,0.011429,0.4367
2020,0.581391,0.584272,0.578571,0.46718,0.530161,0.543536,0.389831,0.609813,0.009524,0.438524
2019,0.552713,0.553817,0.551633,0.415573,0.72118,0.715919,0.27249,0.616822,0.001905,0.441342
2023,0.08005,0.09345,0.067143,0.654142,0.563673,0.211961,0.614081,0.03271,0.15619,0.150933
2022,0.090778,0.123488,0.058776,0.665912,0.61193,0.076517,0.500652,0.049065,0.135238,0.145342
2021,0.098205,0.116187,0.080612,0.680398,0.460456,0.246262,0.619296,0.028037,0.194286,0.144852
2020,0.09738,0.104506,0.090204,0.49751,0.399464,0.299033,0.577575,0.063084,0.167619,0.131836
2019,0.099856,0.101794,0.097959,0.451788,0.642091,0.434477,0.538462,0.077103,0.194286,0.12742
2023,0.676088,0.684189,0.668163,0.647352,0.764745,0.48197,0.767927,0.303738,0.270476,0.233639
2022,0.64576,0.655403,0.636122,0.658216,0.752011,0.340369,0.602347,0.306075,0.260952,0.228235
2021,0.680421,0.682937,0.677959,0.661838,0.613941,0.540897,0.586701,0.306075,0.255238,0.220572
2020,0.688054,0.689403,0.686735,0.465369,0.546917,0.502199,0.54498,0.331776,0.222857,0.215966
2019,0.697545,0.697956,0.697143,0.431417,0.827748,0.673703,0.504563,0.308411,0.20381,0.218448
2023,0.509181,0.512933,0.50551,0.737438,0.898794,0.498681,0.683181,0.193925,0.011429,0.410851
2022,0.5098,0.515645,0.504082,0.740154,0.890751,0.358839,0.601043,0.247664,0.024762,0.428966
2021,0.4902,0.495411,0.485102,0.735627,0.6937,0.562885,0.608866,0.287383,0.04,0.448926
2020,0.468537,0.471631,0.465306,0.534631,0.621314,0.512753,0.518905,0.292056,0.009524,0.4528
2019,0.434702,0.433458,0.435714,0.47397,0.893432,0.684257,0.419817,0.242991,0.0,0.449863
2023,0.320404,0.328744,0.312245,0.342236,0.373324,0.240985,0.504563,0.404206,0.340952,0.088702
2022,0.338973,0.356487,0.321633,0.347669,0.459786,0.094107,0.421121,0.439252,0.215238,0.082779
2021,0.345575,0.355444,0.336122,0.352648,0.292895,0.281442,0.372881,0.434579,0.24,0.072557
2020,0.37941,0.392783,0.366327,0.16478,0.230563,0.157432,0.371578,0.425234,0.232381,0.072256
2019,0.366,0.371297,0.360612,0.136713,0.536863,0.275286,0.294654,0.434579,0.24,0.075343
2019,0.160924,0.18252,0.139796,0.0,0.184987,0.259455,0.233377,0.436916,0.40381,0.146164
2023,0.277698,0.278682,0.276735,0.457673,0.597185,0.388742,1.0,0.397196,0.135238,0.136487
2022,0.288426,0.291615,0.28551,0.464011,0.600536,0.248901,0.876141,0.411215,0.097143,0.128165
2021,0.339385,0.345223,0.333878,0.461295,0.404826,0.444151,0.839635,0.38785,0.129524,0.11954
2020,0.378585,0.386525,0.37102,0.272974,0.369973,0.37467,0.790091,0.490654,0.11619,0.122201
2019,0.382298,0.386316,0.378571,0.246718,0.632038,0.51715,0.754889,0.544393,0.139048,0.119836
