measure_id,measure_name,location_name,metric_name,val,year,upper,lower
0,'DALYs (Disability-Adjusted Life Years)',Guatemala,Rate,0.190478,2023,0.18793,0.183264
0,'DALYs (Disability-Adjusted Life Years)',Seychelles,Rate,0.548879,2023,0.553974,0.526309
0,'DALYs (Disability-Adjusted Life Years)',Albania,Rate,0.532259,2022,0.546767,0.494817
0,'DALYs (Disability-Adjusted Life Years)',Niue,Rate,0.422388,2022,0.462845,0.371865
0,'DALYs (Disability-Adjusted Life Years)','United States Virgin Islands',Rate,0.561592,2021,0.558565,0.539009
0,'DALYs (Disability-Adjusted Life Years)',Guinea,Rate,0.189009,2023,0.212921,0.15786
0,'DALYs (Disability-Adjusted Life Years)',Colombia,Rate,0.269114,2022,0.251774,0.271953
0,'DALYs (Disability-Adjusted Life Years)',Mali,Rate,0.231418,2023,0.248238,0.203948
0,'DALYs (Disability-Adjusted Life Years)','Democratic Republic of the Congo',Rate,0.284121,2022,0.322029,0.218381
0,'DALYs (Disability-Adjusted Life Years)','Viet Nam',Rate,0.40756,2023,0.434713,0.351935
0,'DALYs (Disability-Adjusted Life Years)','Lao Peoples Democratic Republic',Rate,0.286758,2022,0.303699,0.256366
0,'DALYs (Disability-Adjusted Life Years)',Greece,Rate,0.778478,2023,0.755474,0.756353
0,'DALYs (Disability-Adjusted Life Years)',Estonia,Rate,0.694288,2023,0.675031,0.678017
0,'DALYs (Disability-Adjusted Life Years)',Slovakia,Rate,0.786275,2022,0.775844,0.77358
0,'DALYs (Disability-Adjusted Life Years)',Uruguay,Rate,0.767938,2021,0.733603,0.759949
0,'DALYs (Disability-Adjusted Life Years)',Paraguay,Rate,0.328407,2023,0.327014,0.304528
0,'DALYs (Disability-Adjusted Life Years)',Namibia,Rate,0.249113,2022,0.269729,0.198973
0,'DALYs (Disability-Adjusted Life Years)',Morocco,Rate,0.249268,2022,0.288854,0.206399
0,'DALYs (Disability-Adjusted Life Years)',Afghanistan,Rate,0.079182,2023,0.097074,0.052754
0,'DALYs (Disability-Adjusted Life Years)',Portugal,Rate,0.768108,2023,0.748245,0.72975
0,'DALYs (Disability-Adjusted Life Years)',Honduras,Rate,0.115759,2023,0.120084,0.102126
0,'DALYs (Disability-Adjusted Life Years)',Palestine,Rate,0.138348,2023,0.134276,0.130751
0,'DALYs (Disability-Adjusted Life Years)',Denmark,Rate,0.784248,2023,0.763603,0.75962
