@relation 'IHME_clean-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Remove-R3,5,6,7,8,9,10,11-weka.filters.unsupervised.attribute.Remove-R3,5-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute measure_id numeric
@attribute measure_name {Deaths,'DALYs (Disability-Adjusted Life Years)'}
@attribute location_name {Croatia,Jamaica,Panama,'Lao Peoples Democratic Republic',Guam,Chile,Cameroon,Tonga,Germany,Colombia,Morocco,Mozambique,Fiji,Mauritania,Czechia,Afghanistan,'Saint Lucia',Ghana,Romania,Vanuatu,'Equatorial Guinea',Singapore,Malaysia,'Venezuela (Bolivarian Republic of)','Cabo Verde',Niger,'Northern Mariana Islands',Indonesia,Luxembourg,Hungary,Kiribati,'Costa Rica','Bolivia (Plurinational State of)','Saint Vincent and the Grenadines',Georgia,Bangladesh,Türkiye,Uruguay,Serbia,'United States Virgin Islands',Rwanda,Pakistan,Palestine,Oman,'Puerto Rico',Maldives,Bulgaria,France,Brazil,'North Macedonia',Malta,Slovakia,Monaco,Suriname,'South Sudan','El Salvador','Russian Federation',Uzbekistan,'United Republic of Tanzania',Algeria,Kazakhstan,Bhutan,Chad,'Marshall Islands',Tokelau,Netherlands,'Sri Lanka',Turkmenistan,Ecuador,Belarus,'Saint Kitts and Nevis',Palau,Austria,Australia,India,'American Samoa',Montenegro,Ukraine,Israel,Sweden,'United Arab Emirates',Gabon,'Trinidad and Tobago',Iraq,Kuwait,Nauru,Eritrea,Haiti,Mauritius,Kyrgyzstan,Portugal,'South Africa',Paraguay,Argentina,Cuba,Uganda,Myanmar,Estonia,Bahrain,Nicaragua,Tuvalu,Thailand,Guatemala,Slovenia,'Côte dIvoire',Switzerland,Yemen,Nigeria,Japan,Armenia,Jordan,Poland,China,'Burkina Faso',Timor-Leste,Qatar,Canada,Eswatini,'San Marino',Seychelles,Peru,Egypt,Lebanon,Zambia,Spain,Belgium,Bermuda,Italy,'United Kingdom',Nepal,'Solomon Islands',Norway,'New Zealand',Niue,Latvia,'United States of America',Philippines,'Republic of Moldova','Brunei Darussalam',Sudan,Guinea,Albania,Dominica,Libya,'Republic of Korea',Gambia,Cyprus,Mongolia,Ethiopia,Azerbaijan,Comoros,'Democratic Republic of the Congo',Botswana,Cambodia,'Sao Tome and Principe',Burundi,'Democratic Peoples Republic of Korea',Somalia,Angola,'Bosnia and Herzegovina','Saudi Arabia',Honduras,Zimbabwe,Djibouti,'Iran (Islamic Republic of)',Tajikistan,Madagascar,'Antigua and Barbuda','Dominican Republic',Kenya,'Micronesia (Federated States of)',Lithuania,'Taiwan (Province of China)',Greece,Bahamas,'Central African Republic',Belize,Grenada,Lesotho,Mexico,Senegal,Congo,'Papua New Guinea',Andorra,Denmark,Benin,'Syrian Arab Republic',Guinea-Bissau,'Cook Islands',Iceland,Togo,Namibia,Barbados,Finland,Malawi,Samoa,Liberia,Greenland,'Viet Nam','Sierra Leone',Guyana,Tunisia,Ireland,Mali}
@attribute metric_name {Number,Percent,Rate}
@attribute val numeric
@attribute year numeric
@attribute upper numeric
@attribute lower numeric

@data
0,Deaths,'Saint Lucia',Rate,0.008739,2017,0.008501,0.008583
0,Deaths,Ghana,Number,0.844739,2018,0.867914,0.779886
0,Deaths,Ghana,Percent,0.000003,2018,0.000003,0.000003
0,Deaths,Ghana,Rate,0.002778,2018,0.002855,0.002565
0,Deaths,Romania,Percent,0.000013,2018,0.000012,0.000013
0,Deaths,Romania,Rate,0.018085,2018,0.017037,0.018267
0,Deaths,Vanuatu,Number,0.00837,2017,0.00881,0.007552
0,Deaths,Vanuatu,Percent,0.000004,2017,0.000004,0.000004
0,Deaths,Vanuatu,Rate,0.00288,2017,0.003031,0.002598
0,Deaths,'Equatorial Guinea',Number,0.048163,2018,0.05194,0.040329
0,Deaths,'Equatorial Guinea',Percent,0.000004,2018,0.000004,0.000003
0,Deaths,'Equatorial Guinea',Rate,0.003429,2018,0.003698,0.002871
0,Deaths,Singapore,Number,0.415121,2018,0.39979,0.401266
0,Deaths,Singapore,Percent,0.000019,2018,0.000018,0.000018
0,Deaths,Singapore,Rate,0.007362,2018,0.00709,0.007116
0,Deaths,Malaysia,Percent,0.000009,2017,0.000009,0.000009
0,Deaths,Malaysia,Rate,0.005472,2017,0.005323,0.005354
0,Deaths,'Venezuela (Bolivarian Republic of)',Percent,0.00001,2017,0.000009,0.00001
0,Deaths,'Venezuela (Bolivarian Republic of)',Rate,0.006577,2017,0.006201,0.006605
0,Deaths,'Cabo Verde',Number,0.031733,2017,0.032455,0.029568
0,Deaths,'Cabo Verde',Percent,0.00001,2017,0.00001,0.00001
0,Deaths,'Cabo Verde',Rate,0.0062,2017,0.006341,0.005777
0,Deaths,Niger,Number,0.438856,2019,0.492504,0.38364
0,Deaths,Niger,Percent,0.000001,2019,0.000001,0.000001
0,Deaths,Niger,Rate,0.00191,2019,0.002143,0.00167
0,Deaths,'Northern Mariana Islands',Number,0.004439,2018,0.004504,0.004177
0,Deaths,'Northern Mariana Islands',Percent,0.000012,2018,0.000012,0.000012
0,Deaths,'Northern Mariana Islands',Rate,0.009087,2018,0.009219,0.00855
0,Deaths,Indonesia,Percent,0.000007,2020,0.000007,0.000006
0,Deaths,Indonesia,Rate,0.005229,2020,0.005428,0.004846
0,Deaths,Luxembourg,Number,0.081945,2018,0.078987,0.079214
0,Deaths,Luxembourg,Percent,0.000019,2018,0.000018,0.000019
0,Deaths,Luxembourg,Rate,0.013606,2018,0.013115,0.013153
0,Deaths,Hungary,Percent,0.000016,2017,0.000015,0.000016
0,Deaths,Hungary,Rate,0.02284,2017,0.02148,0.022931
0,Deaths,Kiribati,Number,0.003515,2017,0.003851,0.002981
0,Deaths,Kiribati,Percent,0.000004,2017,0.000005,0.000004
0,Deaths,Kiribati,Rate,0.00302,2017,0.003309,0.002562
0,Deaths,'Costa Rica',Number,0.364022,2017,0.347471,0.360221
0,Deaths,'Costa Rica',Percent,0.000015,2017,0.000014,0.000015
0,Deaths,'Costa Rica',Rate,0.007374,2017,0.007038,0.007297
0,Deaths,'Bolivia (Plurinational State of)',Number,0.89219,2018,0.918581,0.838259
0,Deaths,'Bolivia (Plurinational State of)',Percent,0.000011,2018,0.000011,0.000011
